"Polarity","Tweet"
"Netral","jgn heran korupsi menjadi habis itu yg di ajarkan ediologi jadi bahan taruhan"
"Netral","untuk yg nyoblos hari ini"
"Positif","jujur adil tegas dan tidak korupsi"
"Netral","dia adalah orang yang membela hak kalian yang dirampok penjahat negara ahok berani berantas korupsi 

 https …"
"Negatif","yang nyata korupsi rssw diskresi ahok miliar dipetieskan polisi"
"Positif","pasti kami kami mau paslon yg dibiayai rakyat krn mau jd pelayan masyarakat dki yuuuk badja aja yg bersih tran…"
"Negatif","besok kami akan karena seperti kami anti korupsi"
"Netral","iyaa tapi justru kpk ga beresnya itu yang korupsi dibilang bersih belum tau ada sejarahnya yg bersih dituduh korupsi"
"Negatif","besok kami akan karena seperti kami anti korupsi"
"Netral","yuk siap ke tps pilih pemimpin yg jjur bs membrantas korupsi jgn salah pilih salam <U+270C> jari"
"Positif","hari ini khusus utk warga dki fokus saja pada pencoblosan agar jakarta bebas korupsi betul nyata berubah aman dan d…"
"Negatif","hary tanoe disebut lobi kasus korupsi saham grup mnc amblas"
"Negatif","iya jgn pilih partai dan caleg nya yg msk penjara krn korupsi hambalang catet"
"Negatif","besok kami akan karena seperti kami anti korupsi"
"Negatif","dlm kasus antasari aku dukung pa bongkar semua yg sdh menyengsarakan anda kelicikan pencitraan anti korupsi pemimpin lebay"
"Negatif","katakan tidak pada hal korupsi"
"Netral","selamat pagiiii pilih yg anti korupsi bela demokrasi menjaga nkri supaya kita gak dikatain kafir lagi <U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F> …"
"Negatif","dugan korupsi rp m sekretaris kpu kabupaten blitar dpo beritasatu"
"Netral","katakan tidak padahal korupsi ngakak"
"Netral","selamat pagiiii pilih yg anti korupsi bela demokrasi menjaga nkri supaya kita gak dikatain kafir lagi <U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F> …"
"Positif","wahai rakyatku mari kita sarapan pagi terus pilihlah calon yg gak berpotensi korupsi tps tps menanti anda jangan sia siakan kesempatan ini"
"Netral","selamat pagiiii pilih yg anti korupsi bela demokrasi menjaga nkri supaya kita gak dikatain kafir lagi <U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F> …"
"Netral","wahai warga jakarta apakah saya tidak boleh minta mayoritas warga coblos yg mau kerja dan bersih dari korupsi memprokla…"
"Netral","selamat pagiiii pilih yg anti korupsi bela demokrasi menjaga nkri supaya kita gak dikatain kafir lagi <U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F> …"
"Negatif","sepeserpun anas korupsi hambalang anas digantung di monas sumpah ini tidak terbukti anda wajib membayarnya…"
"Netral","selamat pagiiii pilih yg anti korupsi bela demokrasi menjaga nkri supaya kita gak dikatain kafir lagi <U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F> …"
"Netral","selamat pagiiii pilih yg anti korupsi bela demokrasi menjaga nkri supaya kita gak dikatain kafir lagi <U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F> …"
"Negatif","wahai rakyatku mentri amp anggota demokrat ditangkap korupsi trs gw d suruh milih anaknya gile loo"
"Netral","selamat pagiiii pilih yg anti korupsi bela demokrasi menjaga nkri supaya kita gak dikatain kafir lagi <U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F>"
"Negatif","dengas wajah memelas kepada rakyat untuk dipilih lalu membantai dengan berbagai korupsi dekade sudah"
"Netral","wahai warga jakarta apakah saya tidak boleh minta mayoritas warga coblos yg mau kerja dan bersih dari korupsi memprokla…"
"Netral","ga boleh curiga ga boleh korupsi"
"Negatif","besok kami akan karena seperti kami anti korupsi"
"Negatif","yang nyata korupsi rssw diskresi ahok miliar dipetieskan polisi"
"Negatif","besok kami akan karena seperti kami anti korupsi"
"Negatif","korupsi wisma hambalang amp century itu restu siapa yakk"
"Positif","ada yg korupsi 
ada yg jaim 
tapi yg lebih bahaya dari semua ialah yg nafsu berkuasa jadi apapun boleh asal dia menang st…"
"Negatif","entah knp saya trlalu apatis terhadap pemilu ini tiap pemilu berganti pemimpin negara ini gitu aja korupsi jln juga"
"Positif","biar gerimis atau hujan tetap berangkat ya sayang suaramu kalau golput pilih yang jujur dan anti korupsi <U+270C>"
